Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 23:50,1.071,0,291.9,12.16,0.181
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 23:55,0.945,0,291.9,12.11,0.119
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:00,1.401,0,292.1,12.23,0.176
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:05,1.036,0,292.1,12.17,0.2
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:10,1.268,0,301.1,12.1,0.205
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:15,1.55,0,307.7,12.21,0.191
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:20,1.148,0,307.9,12.13,0.176
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:25,1.425,0,311.1,12.12,0.186
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:30,1.203,0,310.5,12.14,0.119
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:35,0.858,0,310.5,12.37,0.152
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:40,1.374,0,310.7,12.54,0.162
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:45,1.231,0,310.5,12.4,0.195
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:50,0.98,0,310.4,12.44,0.2
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 00:55,1.819,0,320.7,12.35,0.067
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:00,1.436,0,319.3,12.59,0.024
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:05,2.043,0,320,12.47,0.081
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:10,1.59,0,323.8,12.37,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:15,1.454,0,318.2,12.9,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:20,2.046,0,319.5,12.73,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:25,1.454,0,322,12.71,0
